jobClass,jobCompany,jobMoney,jobName,jobNeed,jobPlace,jobSpesk,jobType,jobUrl
投资总监,腾讯,13k-25k,薪酬绩效主管-数字广东公司（腾讯投资）,经验5-10年 / 本科,新港,"“直属HRD,包三餐”","移动互联网 ,游戏 / 上市公司",
投资总监,广州棒谷科技股份有限公司,15k-30k,投资经理,经验1-3年 / 硕士,白云大道,"“全勤奖,年终奖,五险一金,绩效奖”",电子商务 / 不需要融资,
投资总监,广州维高集团,20k-30k,投资经理,经验3-5年 / 本科,神山,"“风口行业,大资金,大投入”",其他 / 不需要融资,
投资总监,广东中原地产科贸,8k-12k,投资顾问,经验不限 / 不限,石牌,"“薪资待遇高,平台大,弹性工作”","移动互联网,电子商务 / 不需要融资",
投资总监,菜鸟理财,6K-9K,数据分析/投资服务,经验1-3年 / 本科,沙河,"“氛围好,牛人多,奖金丰厚,人性化”",金融 / A轮,
投资总监,天拓游戏,10k-20k,投资经理,经验1-3年 / 本科,沙河,"“上市公司,有前景,环境高大上,双休”",游戏 / 上市公司,
投资总监,考拉理财,10k-20k,投资经理,经验3-5年 / 本科,客村,“发展空间大 福利待遇好 绩效奖金 周末双休”,金融 / A轮,
投资总监,真格基金,10k-15k,家居新零售总监-真格基金投资公司,经验3-5年 / 本科,番禺区,“五险一金”,金融 / 不需要融资,
投资总监,瀚德金融,15k-20k,固定收益投资经理-HZXJ,经验3-5年 / 硕士,越秀区,“福利好，扁平管理”,金融 / 不需要融资,
投资总监,开始吧,8k-12k,项目投资顾问,经验3-5年 / 本科,天河城,"“福利好,氛围好,弹性工作日,报复平庸”","移动互联网,金融 / C轮",
投资总监,佛山巨投,2k-3k,投资顾问,经验不限 / 大专,芳村,"“朝九晚五,周末双休,提成,福利好”",金融 / 不需要融资,
清算,广州李子网络科技有限公司,4k-5k,清算,经验不限 / 大专,沙河,“弹性工作 准上市公司”,"移动互联网,电子商务 / 不需要融资",
清算,钱端,4k-8k,清算专员,经验不限 / 大专,沙河,"“发展空间大,办公环境好,薪酬福利好”","移动互联网,电子商务 / 天使轮",
清算,网金控股,5k-10k,清算专员/助理,经验不限 / 本科,珠江新城,“氛围好 交通便利”,移动互联网 / A轮,
清算,汇桔网,15k-30k,高级Java开发工程师-财务清算（珠江新城）,经验5-10年 / 大专,沙河,“五险一金 周末双休 美美下午茶”,"企业服务,O2O / B轮",
行业研究,PPmoney互联网金融平台,15k-20k,行业高级研究员,经验3-5年 / 硕士,沙河,"“战略研究,参与决策,形象力岗位”",金融 / 上市公司,
行业研究,极光,6k-10k,行业研究员,经验1年以下 / 大专,天河城,"“五险一金,专业培训,奖金丰厚,发展空间大”","移动互联网,数据服务 / D轮及以上",
行业研究,易联达投资,20K-25K,行业研究,经验3-5年 / 硕士,沙河,“心有多大，天空就有多大”,金融 / 不需要融资,
行业研究,Ways,6k-9k,研究员,经验1-3年 / 本科,猎德,“六险一金”,"移动互联网,企业服务 / 未融资",
行业研究,标点信息,7k-10k,研究员,经验1-3年 / 硕士,东风东,"“五险一金,年终奖金,餐补交通补,高温补贴”",企业服务 / D轮及以上,
行业研究,广电运通,15k-20k,博士研究员,经验不限 / 博士,萝岗区,"“国企,上市公司,餐补,免费班车”","移动互联网,金融 / 上市公司",
行业研究,CNICG,10k-15k,助理研究员,经验不限 / 硕士,南沙区,"“六险一金,专业团队,发展空间”",移动互联网 / 不需要融资,
行业研究,icon,7k-10k,用户研究员 （非游戏类）,经验5-10年 / 本科,棠下,"“年度体检,社保,下午茶,不定期活动”","移动互联网,游戏 / 天使轮",
行业研究,中国信通院,8k-10k,前沿产业研究员,经验不限 / 硕士,越秀区,“事业单位”,"信息安全,移动互联网 / 不需要融资",
行业研究,广州银行信用卡中心,15k-20k,用户研究资深岗,经验5-10年 / 本科,天河城,"“周末双休,弹性工作,氛围好,领导耐撕”",金融 / 不需要融资,
行业研究,蓝月亮,4k-6k,客户服务与研究专员,经验不限 / 大专,南岗,"“系统培训,发展空间,免费宿舍”",生活服务 / 不需要融资,
行业研究,INI创旭国际,10k-15k,研究经理,经验3-5年 / 本科,岭南,“福利齐全 办公环境舒适 交通便利”,"移动互联网,广告营销 / 不需要融资",
行业研究,中移在线服务有限公司,25k-35k,文本算法研究,经验3-5年 / 硕士,客村,"“五险一金,企业年金,带薪年假,通话餐补”",移动互联网 / 不需要融资,
行业研究,棕榈大道,5k-10k,研究生咨询顾问,经验不限 / 本科,冼村,"“五险一金,带薪年假,弹性工作”","移动互联网,教育 / A轮",
行业研究,有米科技,14k-20k,战略研究经理,经验3-5年 / 本科,大学城,"“战略研究,业务规划,研究报告,数据分析”","移动互联网,广告营销 / 上市公司",
融资,交通普惠,8k-15k,融资专员,经验不限 / 不限,岗顶,"“月入过万,有挑战性,综合能力强,有趣不枯燥”","企业服务,金融 / 未融资",
融资,乾满企业,6k-10k,融资专员,经验1-3年 / 不限,林和,"“周末双休,带薪年假,团队聚餐,旅游”","移动互联网,金融 / 未融资",
融资,广州稻米,6k-12k,融资专员,经验不限 / 不限,天河区,"“专业培训,员工福利,带薪年假,绩效奖金”",金融 / 不需要融资,
融资,盛合金服,6K-10K,融资专员,经验不限 / 不限,石牌,“早九晚六，法定节假休息，下午茶，提供宿舍”,金融 / 不需要融资,
融资,TCL金融控股集团,15k-20k,外汇融资理财经理,经验3-5年 / 本科,岭南,“待遇佳福利好平台广”,金融 / 未融资,
融资,平安普惠广州（本科）旗舰营业部,8k-12k,平安普惠旗舰营业部 融资专员G,经验不限 / 本科,天河区,"“六险二金,优厚福利”","金融,企业服务 / 上市公司",
融资,神州通保,7k-8k,融资租赁财务岗,经验1-3年 / 大专,棠下,"“融资租赁,高薪资,前景好,福利好”","移动互联网,企业服务 / 天使轮",
融资,天基资产管理,8k-15k,渠道拓展（总部融资）,经验1-3年 / 大专,琶洲,"“双休,五险一金,高提成,老板好”",金融 / 不需要融资,
融资,星辉投资,8k-10k,法务专员（投融资方向）,经验1-3年 / 本科,珠江新城,"“上市公司,双休,福利好,环境高大上”",游戏 / 上市公司,
投资助理,广州棒谷科技股份有限公司,8k-16k,投资专员-VC方向,经验不限 / 本科,白云大道,"“晋升空间,出国机会,专业培训”",电子商务 / 不需要融资,
投资助理,玖铭汇盈,3k-6k,金融实习生/经纪人/网络推广/投资助理/投资顾问,经验不限 / 不限,石牌,"“前景好,福利高,美女如云,提成高”",金融、企业服务 / 不需要融资,
投资助理,三七互娱,50k-70k,投资总监,经验5-10年 / 本科,天园,"“上市工资,绩效奖金,弹性工作,扁平管理”",游戏 / 上市公司,
投资助理,广东中原地产科贸,8k-12k,投资顾问,经验不限 / 不限,石牌,"“薪资待遇高,平台大,弹性工作”","移动互联网,电子商务 / 不需要融资",
投资助理,广州维高集团,20k-30k,投资经理,经验3-5年 / 本科,神山,"“风口行业,大资金,大投入”",其他 / 不需要融资,
投资助理,菜鸟理财,6K-9K,数据分析/投资服务,经验1-3年 / 本科,沙河,"“氛围好,牛人多,奖金丰厚,人性化”",金融 / A轮,
投资助理,天拓游戏,10k-20k,投资经理,经验1-3年 / 本科,沙河,"“上市公司,有前景,环境高大上,双休”",游戏 / 上市公司,
投资助理,考拉理财,10k-20k,投资经理,经验3-5年 / 本科,客村,“发展空间大 福利待遇好 绩效奖金 周末双休”,金融 / A轮,
投资助理,南都光原娱乐,6k-12k,投资经理/总监,经验3-5年 / 本科,越秀区,"“五险一金,年终奖,平台广”","文化娱乐,广告营销 / 天使轮",
